Accession,Description,Norm Avg Ratio
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",0.529163282
P49419,Alpha-aminoadipic semialdehyde dehydrogenase,0.527034165
P16278,Beta-galactosidase,0.524776643
O95140,Mitofusin-2,0.521628211
P67936,Tropomyosin alpha-4 chain,0.521357872
Q9H2H9,Sodium-coupled neutral amino acid transporter 1,0.518909354
Q9NZL4,Hsp70-binding protein 1,0.51733864
Q7LBR1,Charged multivesicular body protein 1b,0.517061491
P15559,NAD(P)H dehydrogenase [quinone] 1,0.513353178
P48163,NADP-dependent malic enzyme,0.506824014
O60888,Protein CutA,0.506784492
P08729,"Keratin, type II cytoskeletal 7",0.503195556
P08174,Complement decay-accelerating factor,0.502262504
O95772,MLN64 N-terminal domain homolog,0.498017482
Q8WVX9,Fatty acyl-CoA reductase 1,0.496741441
Q9Y5M8,Signal recognition particle receptor subunit beta,0.494627738
P09923,Intestinal-type alkaline phosphatase,0.491531632
P30825,High affinity cationic amino acid transporter 1,0.485883826
P46926,Glucosamine-6-phosphate isomerase 1,0.485586017
Q9P241,Probable phospholipid-transporting ATPase VD,0.482866683
Q15758,Neutral amino acid transporter B(0),0.477490288
Q13268,Dehydrogenase/reductase SDR family member 2,0.468018033
Q8NE71,ATP-binding cassette sub-family F member 1,0.463938323
O60234,Glia maturation factor gamma,0.461183116
Q9GZR7,ATP-dependent RNA helicase DDX24,0.456883475
Q16513,Serine/threonine-protein kinase N2,0.45684242
Q9BUR5,Apolipoprotein O,0.437694917
O75387,Large neutral amino acids transporter small subunit 3,0.437582087
Q9NZJ7,Mitochondrial carrier homolog 1,0.430700548
Q9H910,Hematological and neurological expressed 1-like protein,0.41834006
P14735,Insulin-degrading enzyme,0.415708982
O96011,Peroxisomal membrane protein 11B,0.386949879
P00390,"Glutathione reductase, mitochondrial",0.37924171
Q9H4A4,Aminopeptidase B,0.355027813
Q68CQ7,Glycosyltransferase 8 domain-containing protein 1,0.354602689
P46063,ATP-dependent DNA helicase Q1,0.352846451
