Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM?
P11216,"Glycogen phosphorylase, brain form",,1.02178892,0.751063942,,,,,
Q9NY35,Claudin domain-containing protein 1,0.996844547,,0.715819236,,,,,1
Q16513,Serine/threonine-protein kinase N2,,0.925334283,0.45684242,,,,,
Q9Y223,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,,1.920154916,,,,,,
Q14008,Cytoskeleton-associated protein 5,1.176972907,1.070003924,0.745203039,,,,,
Q8WY22,BRI3-binding protein,0.716103019,,,1,,,,1
Q15771,Ras-related protein Rab-30,,,1.088658847,,,,,
P40938,Replication factor C subunit 3,,0.934036037,0.628370676,,,,,
P40939,"Trifunctional enzyme subunit alpha, mitochondrial",0.947376976,1.037393924,0.783630435,1,,,,
Q8NCW5,Apolipoprotein A-I-binding protein,,1.076432771,0.705172852,1,,,,
P40937,Replication factor C subunit 5,,0.982080872,0.782313085,,,,,
O14936,Peripheral plasma membrane protein CASK,0.840608213,,0.653577083,,,,,
O43324,Eukaryotic translation elongation factor 1 epsilon-1,,0.926115027,0.588315813,,,,,
P31943,Heterogeneous nuclear ribonucleoprotein H,0.520379391,0.984105006,0.688034735,,,,,
P31942,Heterogeneous nuclear ribonucleoprotein H3,,1.013905142,0.636972919,,,,,
P49407,Beta-arrestin-1,,0.751598157,,,,,,
P49406,"39S ribosomal protein L19, mitochondrial",,0.75264386,,1,,,,
P31947,14-3-3 protein sigma,,0.995942322,0.603665055,,,,,
P31946,14-3-3 protein beta/alpha,1.078306985,0.983110893,0.737454347,,,,,
Q8N1F7,Nuclear pore complex protein Nup93,,0.992694554,0.62359415,,,,,
Q8N1F8,Serine/threonine-protein kinase 11-interacting protein,,,0.812065351,,,,,
O15400,Syntaxin-7,1.056671071,,1.083821175,,,,,
P31949,Protein S100-A11,0.940800316,1.012043916,0.662623507,,,,,
P31948,Stress-induced-phosphoprotein 1,1.312768887,1.013798768,0.632514125,,,,,
P60604,Ubiquitin-conjugating enzyme E2 G2,,0.981724186,0.786804514,,,,,
P60602,Reactive oxygen species modulator 1,,,0.687884084,1,,,,
P61604,"10 kDa heat shock protein, mitochondrial",0.790490414,0.971745901,0.610682179,1,,,,
Q9BSV6,tRNA-splicing endonuclease subunit Sen34,,1.070591344,,,,,,
P56937,3-keto-steroid reductase,,1.045626711,,,,,,
Q14914,Prostaglandin reductase 1,,0.981683786,0.578989165,,,,,
Q15428,Splicing factor 3A subunit 2,,1.040389352,,,,,,
Q13907,Isopentenyl-diphosphate Delta-isomerase 1,,0.938921889,0.697609083,,,,,
Q9UJU6,Drebrin-like protein,,0.715094519,,,,,,
P60953,Cell division control protein 42 homolog,1.043443141,1.049753087,0.82000827,,,,,
P50416,"Carnitine O-palmitoyltransferase 1, liver isoform",0.820270515,1.031829625,0.767881523,1,,,,1
P06454,Prothymosin alpha,0.789699802,0.824373928,0.570470636,,,,,
P61421,V-type proton ATPase subunit d 1,1.020302588,1.04527668,1.116684761,,,,,
Q9Y5B9,FACT complex subunit SPT16,,0.996919002,0.683971165,,,,,
O15155,BET1 homolog,,,0.753255446,,,,,
P48047,"ATP synthase subunit O, mitochondrial",0.983071897,0.990458211,0.801653261,1,,,,
O14880,Microsomal glutathione S-transferase 3,,,0.817940388,,,,,1
O15533,Tapasin,1.018739707,0.86229657,0.717929236,,1,,,
Q16643,Drebrin,,0.982978634,,,,,,
Q9H6A9,Pecanex-like protein 3,1.162914207,,,,,,,1
Q9UNE7,E3 ubiquitin-protein ligase CHIP,0.762234049,1.091701079,0.66083665,,,,,
P38606,V-type proton ATPase catalytic subunit A,0.920620307,0.959279184,0.721656601,,,,,
Q9UPQ0,LIM and calponin homology domains-containing protein 1,,0.891892865,,,,,,
P49327,Fatty acid synthase,1.17801292,1.010972423,0.694881572,,,,,
Q16881,"Thioredoxin reductase 1, cytoplasmic",,0.963613465,0.640919591,,,,,
Q7Z2T5,TRMT1-like protein,,1.01123102,,,,,,
Q9H0C8,Integrin-linked kinase-associated serine/threonine phosphatase 2C,,0.839158087,,,,,,
Q7L2H7,Eukaryotic translation initiation factor 3 subunit M,0.926664839,0.980737194,0.715934204,,,,,
Q9BS26,Endoplasmic reticulum resident protein 44,1.580525963,1.548994051,1.352254997,,1,,,
Q9BPX3,Condensin complex subunit 3,0.803822428,1.015250582,,,,,,
Q9BX59,Tapasin-related protein,,,1.720963516,,1,,,
Q8WZA0,Protein LZIC,,1.028502914,1.075905368,,,,,
Q13740,CD166 antigen,1.895273174,,2.341446194,,1,,,
O75431,Metaxin-2,0.87597931,1.020495625,0.772345459,1,,,,
Q9HD20,Probable cation-transporting ATPase 13A1,0.884123458,0.852883922,0.763265859,,,,,1
Q9H6S0,Probable ATP-dependent RNA helicase YTHDC2,,1.227623383,,,,,,
Q9NYL9,Tropomodulin-3,,1.036359535,0.717348103,,,,,
Q13586,Stromal interaction molecule 1,0.994636847,,,,1,,,
P21333,Filamin-A,1.345167205,1.019220782,0.677728217,,,,,
O95758,Regulator of differentiation 1,,1.074686827,,,,,,
Q9BWH6,RNA polymerase II-associated protein 1,,0.964077618,,,,,,
P30566,Adenylosuccinate lyase,,1.003744983,0.685599218,,,,,
Q9BWH2,FUN14 domain-containing protein 2,0.573298689,,,,,,,
O43670,Zinc finger protein 207,,0.645073407,,,,,,
Q99685,Monoglyceride lipase,,0.785157583,,,,,,
P10586,Receptor-type tyrosine-protein phosphatase F,0.943388063,0.79170428,0.740251784,,1,,,
P38159,Heterogeneous nuclear ribonucleoprotein G,,,0.536082665,,,,,
Q10589,Bone marrow stromal antigen 2,0.956535528,,,,,1,,
P51610,Host cell factor 1,0.93570698,1.006611939,0.819717533,,,,,
P01920,"HLA class II histocompatibility antigen, DQ beta 1 chain",2.209725498,,1.981797635,,1,,,
Q9Y282,Endoplasmic reticulum-Golgi intermediate compartment protein 3,1.89808665,,1.659279832,,,,,1
Q9Y285,Phenylalanyl-tRNA synthetase alpha chain,0.915633948,0.94769636,0.654167942,,,,,
Q9Y287,Integral membrane protein 2B,1.880717181,,1.889439364,,,1,,
Q9Y289,Sodium-dependent multivitamin transporter,1.155162254,,1.115127545,,,,,1
O00264,Membrane-associated progesterone receptor component 1,0.989556036,,,,,,,
P08865,40S ribosomal protein SA,1.086276941,0.984417164,0.657807298,,,,,
P30419,Glycylpeptide N-tetradecanoyltransferase 1,,,0.617188741,,,,,
P52815,"39S ribosomal protein L12, mitochondrial",,,0.707751399,1,,,,
Q06124,Tyrosine-protein phosphatase non-receptor type 11,,1.008264822,1.25118737,,,,,
Q9NQ55,Suppressor of SWI4 1 homolog,,0.765587027,,,,,,
P60842,Eukaryotic initiation factor 4A-I,0.924259695,1.009844338,0.665592654,,,,,
A6NDG6,Phosphoglycolate phosphatase,,0.865965374,0.567711148,,,,,
Q9Y2W1,Thyroid hormone receptor-associated protein 3,,1.106047025,0.592621768,,,,,
Q9BVJ6,U3 small nucleolar RNA-associated protein 14 homolog A,,1.154153207,0.67454269,,,,,
O95347,Structural maintenance of chromosomes protein 2,,0.970060489,0.664716524,,,,,
Q8IWV8,E3 ubiquitin-protein ligase UBR2,,1.013720354,,,,,,
P47756,F-actin-capping protein subunit beta,,0.843031368,0.633265249,,,,,
P60174,Triosephosphate isomerase,0.947210087,0.987832431,0.649820479,,,,,
Q03701,CCAAT/enhancer-binding protein zeta,,0.971868869,0.645935039,,,,,
O00461,Golgi integral membrane protein 4,1.31539838,,,,,1,,
Q9BRR6,ADP-dependent glucokinase,1.57380504,,1.890145857,,1,,,
Q9NZW5,MAGUK p55 subfamily member 6,1.03728286,1.147488434,1.096486656,,,,,
Q14155,Rho guanine nucleotide exchange factor 7,,0.948799478,,,,,,
P45880,Voltage-dependent anion-selective channel protein 2,0.847600443,0.999515988,0.719407721,1,,,,
Q9Y606,"tRNA pseudouridine synthase A, mitochondrial",,0.997471865,,1,,,,
P28482,Mitogen-activated protein kinase 1,,1.497848552,0.71271118,,,,,
Q9Y3I0,tRNA-splicing ligase RtcB homolog,0.896900918,0.913178091,0.648590239,,,,,
Q96AA3,Protein RFT1 homolog,0.730663486,,0.64236689,,,,,1
O75410,Transforming acidic coiled-coil-containing protein 1,1.127890016,,0.766162648,,,,,
P28331,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",0.90310965,1.013406803,0.812975591,1,,,,
P62829,60S ribosomal protein L23,,0.973734424,0.656969282,,,,,
P62820,Ras-related protein Rab-1A,,,0.7795092,,,,,
P62826,GTP-binding nuclear protein Ran,1.052175008,1.005541881,0.635887445,,,,,
Q5BKZ1,Zinc finger protein 326,,1.215219634,,,,,,
P51858,Hepatoma-derived growth factor,,1.075256123,0.645641364,,,,,
Q9Y4W2,Protein LAS1 homolog,,0.861387898,,,,,,
P18583,Protein SON,,1.000958469,0.704016254,,,,,
P29992,Guanine nucleotide-binding protein subunit alpha-11,0.9961125,,,,,,,
Q9Y4W6,AFG3-like protein 2,0.900910186,1.051671096,0.72628239,1,,,,1
Q8TCJ2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,1.099268859,1.249821496,1.315405493,,,,,1
O95983,Methyl-CpG-binding domain protein 3,,0.931948682,,,,,,
Q93034,Cullin-5,1.478034794,,,,,,,
O95292,Vesicle-associated membrane protein-associated protein B/C,1.14531091,,1.080696714,,,,,
O43913,Origin recognition complex subunit 5,,0.935305658,,,,,,
Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1,,,0.593396315,,,,,
O95297,Myelin protein zero-like protein 1,2.400660559,,2.941245666,,1,,,
O95298,NADH dehydrogenase [ubiquinone] 1 subunit C2,0.973864095,,0.628792128,1,,,,
O95299,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",0.942399015,1.156275397,0.743511457,1,,,,
P43304,"Glycerol-3-phosphate dehydrogenase, mitochondrial",0.813477888,1.309438191,1.051353485,1,,,,
P43307,Translocon-associated protein subunit alpha,1.007794423,1.323143843,1.572715749,,1,,,
P30050,60S ribosomal protein L12,0.943955987,1.018650085,0.733034596,,,,,
Q92616,Translational activator GCN1,1.013937735,0.982731824,0.710595895,,,,,
Q92615,La-related protein 4B,,0.971778836,,,,,,
Q9UHQ9,NADH-cytochrome b5 reductase 1,0.927929606,0.834783009,0.68431006,,,,,
Q9H501,ESF1 homolog,,1.030723899,,,,,,
Q92619,Minor histocompatibility protein HA-1,,1.004828578,,,,,,
Q9Y4E8,Ubiquitin carboxyl-terminal hydrolase 15,,1.004734965,,,,,,
P43490,Nicotinamide phosphoribosyltransferase,,0.923414974,0.654969523,,,,,
Q9BZK7,F-box-like/WD repeat-containing protein TBL1XR1,,0.923611151,,,,,,
O60701,UDP-glucose 6-dehydrogenase,,0.902290257,0.668829426,,,,,
Q9UH65,Switch-associated protein 70,,0.730662402,,,,,,
P15531,Nucleoside diphosphate kinase A,0.820572216,1.007707133,0.646781152,,,,,
O60704,Protein-tyrosine sulfotransferase 2,,,0.726432687,,,1,,
Q96P70,Importin-9,,1.030104352,0.791540942,,,,,
Q14344,Guanine nucleotide-binding protein subunit alpha-13,0.911257864,0.926107952,0.696793395,,,,,
P42785,Lysosomal Pro-X carboxypeptidase,,1.054023868,,,1,,,
P46063,ATP-dependent DNA helicase Q1,,1.008217025,0.352846451,,,,,
P46060,Ran GTPase-activating protein 1,0.927477276,0.986601865,0.667292044,,,,,
O75964,"ATP synthase subunit g, mitochondrial",,1.270639664,1.066096594,1,,,,
P68400,Casein kinase II subunit alpha,1.089680869,1.059948612,0.816274783,,,,,
P42765,"3-ketoacyl-CoA thiolase, mitochondrial",,0.844192006,0.529163282,1,,,,
O75746,Calcium-binding mitochondrial carrier protein Aralar1,0.920441106,1.397539585,1.066131331,1,,,,1
P42766,60S ribosomal protein L35,0.890798555,1.134370085,0.747307995,,,,,
Q15833,Syntaxin-binding protein 2,0.975871033,,0.785248685,,,,,
Q5T3I0,G patch domain-containing protein 4,,0.894795312,0.564057351,,,,,
Q9UHD1,Cysteine and histidine-rich domain-containing protein 1,,1.166086029,0.664716524,,,,,
O43488,Aflatoxin B1 aldehyde reductase member 2,,0.854099486,,,,,,
O94966,Ubiquitin carboxyl-terminal hydrolase 19,,0.962856795,,,,,,
Q7Z5G4,Golgin subfamily A member 7,0.908264593,,1.090181542,,,,,
Q92508,Protein PIEZO1,1.445861076,,1.514072612,,,,,1
P53618,Coatomer subunit beta,1.055100782,0.961501152,0.749469936,,,,,
P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,,0.90805965,0.6531437,,,,,
Q86X76,Nitrilase homolog 1,,0.896721954,,1,,,,
P61966,AP-1 complex subunit sigma-1A,,1.04156292,1.128043314,,,,,
P18124,60S ribosomal protein L7,0.922350331,0.985371299,0.719741792,,,,,
P08195,4F2 cell-surface antigen heavy chain,0.735320346,0.734202585,0.576259258,,,1,,
Q9UI14,Prenylated Rab acceptor protein 1,,,1.052748968,,,,,1
Q9UI10,Translation initiation factor eIF-2B subunit delta,1.040581645,0.970037159,0.634671492,,,,,
Q9UI12,V-type proton ATPase subunit H,0.977116467,1.014494695,1.069265965,,,,,
P24666,Low molecular weight phosphotyrosine protein phosphatase,,0.955160011,0.544389769,,,,,
P17480,Nucleolar transcription factor 1,,0.954107098,,,,,,
Q15165,Serum paraoxonase/arylesterase 2,,,2.079156586,,1,,,
Q8TEX9,Importin-4,,0.960486503,0.655353614,,,,,
Q9NRA2,Sialin,,,1.119639777,,,,,1
Q14651,Plastin-1,,1.022823309,,,,,,
Q5W0Z9,Probable palmitoyltransferase ZDHHC20,1.02532455,,,,,,,1
O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,0.965711774,0.972512775,0.747284923,,,,,
O43681,ATPase ASNA1,1.289116708,1.007690913,1.105411931,,,,,
Q13217,DnaJ homolog subfamily C member 3,2.629294109,1.219089675,1.503798333,,1,,,
O43684,Mitotic checkpoint protein BUB3,,0.839095587,0.601743715,,,,,
P49321,Nuclear autoantigenic sperm protein,,1.043689429,0.753981463,,,,,
Q9UGV2,Protein NDRG3,1.20307787,0.833026093,,,,,,
P22794,Protein EVI2A,4.070043863,,,,1,,,
P07602,Proactivator polypeptide,0.825800087,1.021097184,0.652470149,,1,,,
O75340,Programmed cell death protein 6,0.981542124,1.000157149,1.051087061,,,,,
P14618,Pyruvate kinase isozymes M1/M2,1.033919256,0.963731284,0.665250912,,,,,
O75347,Tubulin-specific chaperone A,,1.039336468,,,,,,
O75348,V-type proton ATPase subunit G 1,,,0.652762413,,,,,
P25685,DnaJ homolog subfamily B member 1,0.920132699,1.048843539,0.61954254,,,,,
P63010,AP-2 complex subunit beta,,1.062326262,1.260954136,,,,,
P42166,"Lamina-associated polypeptide 2, isoform alpha",,0.895633142,,,,,,
Q14019,Coactosin-like protein,,0.983276139,0.739512401,,,,,
Q6UW63,KDEL motif-containing protein 1,,0.948187927,,,1,,,
P37198,Nuclear pore glycoprotein p62,,0.984604424,0.650399399,,,,,
Q02338,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",0.833490064,1.037481143,0.723478479,1,,,,
Q6UW68,Transmembrane protein 205,,,1.813964432,,,,,1
P40925,"Malate dehydrogenase, cytoplasmic",,0.884420298,0.613432047,,,,,
P40926,"Malate dehydrogenase, mitochondrial",0.904310178,0.921541952,0.685478833,1,,,,
P82909,"28S ribosomal protein S36, mitochondrial",0.988000562,,0.654034346,1,,,,
Q96DB5,Regulator of microtubule dynamics protein 1,,0.964861485,0.725402727,,,,,
O14929,Histone acetyltransferase type B catalytic subunit,,1.028501567,1.338115047,,,,,
Q9GZS3,WD repeat-containing protein 61,,1.069792711,0.626520852,,,,,
O15439,Multidrug resistance-associated protein 4,0.936554669,0.689882966,0.669837736,,,,,1
Q13363,C-terminal-binding protein 1,,1.044117452,0.812260005,,,,,
Q86YS7,Uncharacterized protein KIAA0528,0.79458838,,0.640657964,,,,,
Q86YS6,Ras-related protein Rab-43,1.30776979,,1.256292528,,,,,
Q8IXS8,Protein FAM126B,1.059083054,,,,,,,
P67812,Signal peptidase complex catalytic subunit SEC11A,1.300492468,1.462018065,1.518511402,,,1,,
Q96PK6,RNA-binding protein 14,0.932076622,0.975687279,0.623827785,,,,,
Q8N1G4,Leucine-rich repeat-containing protein 47,1.129089697,0.992803754,0.698679735,,,,,
Q9Y5Q9,General transcription factor 3C polypeptide 3,,1.159371554,,,,,,
Q9BQE5,Apolipoprotein L2,0.810555056,1.135339847,0.772885639,,,,,
Q9UNZ2,NSFL1 cofactor p47,,0.897617673,0.628892702,,,,,
O60234,Glia maturation factor gamma,,,0.461183116,,,,,
P41091,Eukaryotic translation initiation factor 2 subunit 3,,1.051837041,,,,,,
O60232,Sjoegren syndrome/scleroderma autoantigen 1,,0.930084998,,,,,,
Q99536,Synaptic vesicle membrane protein VAT-1 homolog,1.041276242,1.080151635,0.820167553,1,,,,
P11532,Dystrophin,0.781362954,,,,,,,
O60239,SH3 domain-binding protein 5,0.697983653,,,1,,,,
Q13442,28 kDa heat- and acid-stable phosphoprotein,,1.101499281,,,,,,
P11717,Cation-independent mannose-6-phosphate receptor,0.881576457,0.792552212,0.654719029,,1,,,
Q9BQ39,ATP-dependent RNA helicase DDX50,,0.93911392,,,,,,
Q9Y5Q8,General transcription factor 3C polypeptide 5,,1.029707345,,,,,,
Q12767,Uncharacterized protein KIAA0195,0.777285575,,0.6688361,,,,,1
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase",,1.012506172,0.689431935,,,,,
Q9ULH0,Kinase D-interacting substrate of 220 kDa,1.316272409,1.24582571,1.432906906,,,,,1
Q9UHX3,EGF-like module-containing mucin-like hormone receptor-like 2,0.96556604,,0.790697677,,1,,,1
Q9UHX1,Poly(U)-binding-splicing factor PUF60,1.093543231,1.008342406,0.679350942,,,,,
Q9NS69,Mitochondrial import receptor subunit TOM22 homolog,0.940617836,1.376040348,1.078352414,1,,,,
Q96AJ9,Vesicle transport through interaction with t-SNAREs homolog 1A,,,1.229436617,,,,,
Q15691,Microtubule-associated protein RP/EB family member 1,1.052638624,,0.66464679,,,,,
Q16891,Mitochondrial inner membrane protein,0.928407431,1.027521831,0.738361635,1,,,,
Q9NXC5,WD repeat-containing protein mio,1.017431797,,,,,,,
P13489,Ribonuclease inhibitor,,1.010999174,0.632008829,,,,,
P55769,NHP2-like protein 1,,0.96047025,,,,,,
Q9BV86,Alpha N-terminal protein methyltransferase 1A,,0.94607344,,,,,,
O60231,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,,1.002593569,,,,,,
Q63HN8,RING finger protein 213,,1.296935867,,,,,,
Q15526,Surfeit locus protein 1,,0.899709288,0.819271341,1,,,,1
Q14839,Chromodomain-helicase-DNA-binding protein 4,,0.969822651,,,,,,
Q9HD33,"39S ribosomal protein L47, mitochondrial",,,0.722919589,1,,,,
P25325,3-mercaptopyruvate sulfurtransferase,,1.089033112,,,,,,
O60941,Dystrobrevin beta,1.103458646,,,,,,,
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,1.111196964,1.101081848,0.768571349,,,,,
O14744,Protein arginine N-methyltransferase 5,,1.010188987,0.660254445,,,,,
Q13596,Sorting nexin-1,,,0.62924668,,,,,
Q13595,Transformer-2 protein homolog alpha,,0.564093076,0.689129411,,,,,
P13807,"Glycogen [starch] synthase, muscle",,0.921567863,,,,,,
P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",,0.912330962,0.82197111,1,,,,
Q8WTS6,Histone-lysine N-methyltransferase SETD7,,0.878091495,,,,,,
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",0.969220576,1.034898924,0.734111567,1,,,,
P50402,Emerin,0.973656709,,1.09943213,,,,,
O60493,Sorting nexin-3,1.053836216,1.026345581,0.696618331,,,,,
P10599,Thioredoxin,1.018753755,1.007628493,0.61342648,,,,,
O60499,Syntaxin-10,,,1.303017027,,,,,
P31150,Rab GDP dissociation inhibitor alpha,,1.082086656,,,,,,
Q96EN8,Molybdenum cofactor sulfurase,,1.077452485,,,,,,
P18077,60S ribosomal protein L35a,,0.929451002,0.607956584,,,,,
Q3SXY8,ADP-ribosylation factor-like protein 13B,,,1.24571087,,,,,
O00308,NEDD4-like E3 ubiquitin-protein ligase WWP2,,,1.143702448,,,,,
P48444,Coatomer subunit delta,4.23219483,0.991403592,0.704758788,,,,,
P48449,Lanosterol synthase,1.089936011,1.086586464,1.082431386,,,,,
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",,1.042850968,0.748565226,1,,,,
O00214,Galectin-8,1.13927419,,0.780194774,,,,,
Q9Y2D5,A-kinase anchor protein 2,0.989956016,,0.772618219,,,,,
Q15233,Non-POU domain-containing octamer-binding protein,,1.009469018,0.66705997,,,,,
P48681,Nestin,,0.963319199,0.752295651,,,,,
Q11201,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",1.687326752,,2.481540981,,,1,,
Q5JTH9,RRP12-like protein,,0.89743933,0.74191959,,,,,
O00186,Syntaxin-binding protein 3,0.996273435,0.999733598,0.733862126,,,,,
Q9ULF5,Zinc transporter ZIP10,1.365351343,0.643843545,1.0606697,,1,,,1
Q9NV31,U3 small nucleolar ribonucleoprotein protein IMP3,,0.9633662,,,,,,
Q06136,3-ketodihydrosphingosine reductase,,,1.243538237,,1,,,1
O75947,"ATP synthase subunit d, mitochondrial",0.938254996,1.05048175,1.201593092,1,,,,
P14927,Cytochrome b-c1 complex subunit 7,0.835519589,,0.69981131,1,,,,
