"Accession","Species","Description","# in DB","Avg Peptide Ratio","# Peptide Ratio","# of peptides"
"P32942","HUMAN","Intercellular adhesion molecule 3","1","0.9987175","13","6"
"P01111","HUMAN","GTPase NRas","1","1.14686","2","1"
"P47985","HUMAN","Cytochrome b-c1 complex subunit Rieske, mitochondrial","1","1.27079","1","1"
"P43007","HUMAN","Neutral amino acid transporter A","1","0.871355","1","1"
"P82675","HUMAN","28S ribosomal protein S5, mitochondrial","1","1.12457","1","1"
"P11021","HUMAN","78 kDa glucose-regulated protein","1","1.03778085714","55","21"
"P84103","HUMAN","Serine/arginine-rich splicing factor 3","1","0.859101","2","1"
"P12004","HUMAN","Proliferating cell nuclear antigen","1","1.18187","1","1"
"Q8ND56","HUMAN","Protein LSM14 homolog A","1","0.984681","2","1"
"Q96A26","HUMAN","Protein FAM162A","1","1.093675","3","2"
"O75976","HUMAN","Carboxypeptidase D","1","1.08778588889","18","9"
"Q9BXK5","HUMAN","Bcl-2-like protein 13","1","1.02868","2","1"
